"Question","Chatbot_A_Day1_Answer","Chatbot_A_Day2_Answer","Chatbot_B_Day1_Answer","Chatbot_B_Day2_Answer","Chatbot_C_Day1_Answer","Chatbot_C_Day2_Answer","Chatbot_D_Day1_Answer","Chatbot_D_Day2_Answer","Chatbot_E_Day1_Answer","Chatbot_E_Day2_Answer","Chatbot_F_Day1_Answer","Chatbot_F_Day2_Answer","correctAnswer","Chatbot_A_Day1_Answer_score","Chatbot_A_Day2_Answer_score","Chatbot_B_Day1_Answer_score","Chatbot_B_Day2_Answer_score","Chatbot_C_Day1_Answer_score","Chatbot_C_Day2_Answer_score","Chatbot_D_Day1_Answer_score","Chatbot_D_Day2_Answer_score","Chatbot_E_Day1_Answer_score","Chatbot_E_Day2_Answer_score","Chatbot_F_Day1_Answer_score","Chatbot_F_Day2_Answer_score"
15,"A","A","C","C","A","A","A","A","C ","C ","C","C","C",0,0,1,1,0,0,0,0,1,1,1,1
16,"A","A","A","A","D","A","A","A","A ","A ","A","A","A",1,1,1,1,0,1,1,1,1,1,1,1
17,"D","D","D","D","A","A","D","D","D ","D ","D","D","D",1,1,1,1,0,0,1,1,1,1,1,1
18,"A","A","A","A","A","A","A","A","A ","A ","A","A","A",1,1,1,1,1,1,1,1,1,1,1,1
19,"A","D","D","D","D","D","A","A","D ","D ","D","D","B",0,0,0,0,0,0,0,0,0,0,0,0
20,"B","B","C","C","C",NA,"B","B","C ","C ","C","C","C",0,0,1,1,1,0,0,0,1,1,1,1
21,"A","A","A","A","A","A","A","A","A ","A ","A","A","A",1,1,1,1,1,1,1,1,1,1,1,1
22,"D","D","D","D","D","D","D","D","D ","D ","A","A","D",1,1,1,1,1,1,1,1,1,1,0,0
23,"A","A","A","A","A","A","A","A","A ","A ","A","A","A",1,1,1,1,1,1,1,1,1,1,1,1
24,"C","C","C","C","C","C","C","C","C ","C ","C","C","C",1,1,1,1,1,1,1,1,1,1,1,1
25,"B","B","B","B","C","C","B","B","A ","B ","B","B","B",1,1,1,1,0,0,1,1,0,1,1,1
26,"A","A","A","A","A",NA,"A","A","A ","A ","A","A","A",1,1,1,1,1,0,1,1,1,1,1,1
27,"D","A","A","A","A","A","A","A","A ","A ","A","A","A",0,1,1,1,1,1,1,1,1,1,1,1
28,"B","B","C","B","B","B","B","B","B ","B ","A","A","B",1,1,0,1,1,1,1,1,1,1,0,0
29,"C","C","C","C","C","C","C","C","C ","C ","C","C","C",1,1,1,1,1,1,1,1,1,1,1,1
30,"B","B","B","B","B","B","B","B","B ","B ","B","B","B",1,1,1,1,1,1,1,1,1,1,1,1
31,"C","C","C","C","C","C","C","C","C ","C ","C","C","C",1,1,1,1,1,1,1,1,1,1,1,1
32,"A","A","E","A","A","A","A","A","E ","E ","E","E","E",0,0,1,0,0,0,0,0,1,1,1,1
33,"A","A","A","A","A","A","A","A","A ","A ","C","A","A",1,1,1,1,1,1,1,1,1,1,0,1
34,"A","D","D","A","E","B","A","A","D ","D ","D","D","D",0,1,1,0,0,0,0,0,1,1,1,1
35,"A","A","A","A","A","A","A","A","A ","A ","A","A","A",1,1,1,1,1,1,1,1,1,1,1,1
36,"C","C","C","C","C","C","C","C","C ","C ","C","C","C",1,1,1,1,1,1,1,1,1,1,1,1
37,"B","B","B","B","B",NA,"B","B","B ","B ","B","B","B",1,1,1,1,1,0,1,1,1,1,1,1
38,"A","A","E","A","A",NA,"A","A","A ","A ","A","A","A",1,1,0,1,1,0,1,1,1,1,1,1
39,"D","D","D","D","D","D","D","D","D ","D ","D","D","D",1,1,1,1,1,1,1,1,1,1,1,1
40,"A","A","A","A","A","A","A","A","A","A","A","A","A",1,1,1,1,1,1,1,1,1,1,1,1
41,"C","C","A","A","A","A","A","A","A ","A ","A","A","A",0,0,1,1,1,1,1,1,1,1,1,1
42,"A","A","A","A","A","A","A","A","C ","C ","C","A","C",0,0,0,0,0,0,0,0,1,1,1,0
43,"D","D","D","D","D","D","D","D","D ","D ","D","D","D",1,1,1,1,1,1,1,1,1,1,1,1
44,"C","C","C","D","C","C","C","A","C ","C ","C","C","C",1,1,1,0,1,1,1,0,1,1,1,1
45,"B","B","B","B","B","B","B","B","B ","B ","B","B","B",1,1,1,1,1,1,1,1,1,1,1,1
46,"C","C","A","A","E","E","E","E","E ","E ","E","E","E",0,0,0,0,1,1,1,1,1,1,1,1
47,"D","D","B","B","D","D","D","B","D ","D ","D","D","D",1,1,0,0,1,1,1,0,1,1,1,1
48,"A","A","A","A","A","A","A","A","A ","A ","A","A","A",1,1,1,1,1,1,1,1,1,1,1,1
49,"C","C","C","C","C","C","C","C","C ","C ","C","C","C",1,1,1,1,1,1,1,1,1,1,1,1
50,"B","B","B","B","B","C","B","B","B ","B ","B","B","B",1,1,1,1,1,0,1,1,1,1,1,1
51,"E","E","E","A","E","E","A","A","E ","E ","E","E","E",1,1,1,0,1,1,0,0,1,1,1,1
52,"B","B","B","B","D","D","E","A","B ","B ","B","B","B",1,1,1,1,0,0,0,0,1,1,1,1
53,"D","D","D","D","D","D","D","D","D ","D ","D","D","D",1,1,1,1,1,1,1,1,1,1,1,1
54,"A","A","A","A","A","A","A","A","A ","A ","A","A","A",1,1,1,1,1,1,1,1,1,1,1,1
55,"A","B","B","B","C","C","C","D","D ","D ","B","B","B",0,1,1,1,0,0,0,0,0,0,1,1
56,"E","E","E","E","D","B","E","E","E ","E ","E","E","E",1,1,1,1,0,0,1,1,1,1,1,1
57,"E","E","E","E","E","E","E","E","E ","E ","E","E","E",1,1,1,1,1,1,1,1,1,1,1,1
58,"E","E","E","E","E",NA,"E","E","E ","E ","E","E","E",1,1,1,1,1,0,1,1,1,1,1,1
59,"D","D","D","D","D","D","D","D","D ","D ","D","D","D",1,1,1,1,1,1,1,1,1,1,1,1
60,"B","B","B","B","B","B","D","D","D ","D ","A","A","B",1,1,1,1,1,1,0,0,0,0,0,0
61,"C","C","C","C","C","C","C","C","C ","C ","C","C","C",1,1,1,1,1,1,1,1,1,1,1,1
62,"A","A","D","D","D","D","D","D","D ","D ","D","D","D",0,0,1,1,1,1,1,1,1,1,1,1
63,"B","B","B","B","B","B","B","B","B ","B ","B","B","B",1,1,1,1,1,1,1,1,1,1,1,1
64,"A","A","A","A","A",NA,"A","A","A ","A ","A","A","A",1,1,1,1,1,0,1,1,1,1,1,1
65,"B","B","B","B","B","B","B","B","B ","B ","B","B","B",1,1,1,1,1,1,1,1,1,1,1,1
66,"A","A","A","A","A",NA,"A","A","A ","A ","A","A","A",1,1,1,1,1,0,1,1,1,1,1,1
67,"C","C","C","C","C","C","C","C","C ","C ","C","C","C",1,1,1,1,1,1,1,1,1,1,1,1
68,"A","A","A","A","A",NA,"A","A","A ","A ","A","A","D",0,0,0,0,0,0,0,0,0,0,0,0
69,"A","A","B","B","B",NA,"C","C","C ","C ","B","B","B",0,0,1,1,1,0,0,0,0,0,1,1
70,"A","A","A","A","C","C","A","A","A ","A ","A","A","A",1,1,1,1,0,0,1,1,1,1,1,1
71,"D","D","B","B","C","C","B","B","C ","C ","C","C","D",1,1,0,0,0,0,0,0,0,0,0,0
72,"B","B","A","A","B",NA,"A","A","A ","A ","B","B","B",1,1,0,0,1,0,0,0,0,0,1,1
73,"A","A","C","C","C","E","C","C","C ","C ","C","C","C",0,0,1,1,1,0,1,1,1,1,1,1
74,"E","E","C","C","C","C","C","C","C ","C ","C","C","C",0,0,1,1,1,1,1,1,1,1,1,1
75,"A","A","A","A","A","A","A","A","A ","A ","A","A","A",1,1,1,1,1,1,1,1,1,1,1,1
76,"D","C","B","B","C","C","D","D","E ","E ","E","E","E",0,0,0,0,0,0,0,0,1,1,1,1
77,"C","C","E","E","E","E","B","B","E ","E ","E","E","E",0,0,1,1,1,1,0,0,1,1,1,1
78,"A","A","A","A","B","B","A","A","A ","A ","A","A","B",0,0,0,0,1,1,0,0,0,0,0,0
79,"D","D","D","D","D","D","A","A","D ","D ","D","D","D",1,1,1,1,1,1,0,0,1,1,1,1
80,"True","True","A","A","A","A","A","A","A ","A ","A","A","B",0,0,0,0,0,0,0,0,0,0,0,0
81,"A","A","D","D","D","D","D","D","D ","D ","D","D","D",0,0,1,1,1,1,1,1,1,1,1,1
82,"D","D","D","D","D","D","D","D","D ","D ","D","D","D",1,1,1,1,1,1,1,1,1,1,1,1
83,"D","A","B","C","B","B","C","C","A ","A ","C","C","B",0,0,1,0,1,1,0,0,0,0,0,0
84,"C","C","C","C","C",NA,"C","C","C ","C ","C","C","A",0,0,0,0,0,0,0,0,0,0,0,0
85,"A","A","C","C","C",NA,"C","C","C ","C ","C","C","C",0,0,1,1,1,0,1,1,1,1,1,1
86,"D","D","D","D","D",NA,"D","D","D ","D ","D","D","D",1,1,1,1,1,0,1,1,1,1,1,1
87,"C","C","D","C","C","C","C","C","C ","C ","C","C","C",1,1,0,1,1,1,1,1,1,1,1,1
88,"C","C","C","C",NA,NA,"C","C","C ","C ","C","C","C",1,1,1,1,0,0,1,1,1,1,1,1
89,"C","C","B","B","B","B","B","B","D ","D ","C","C","C",1,1,0,0,0,0,0,0,0,0,1,1
90,"A","A","A","A","A","A","A","A","A ","A ","A","A","A",1,1,1,1,1,1,1,1,1,1,1,1
91,"B","B","D","B","B","B","B","B","B ","B ","B","B","B",1,1,0,1,1,1,1,1,1,1,1,1
92,"C","C","C","C","C","C","C","C","C ","C ","C","C","C",1,1,1,1,1,1,1,1,1,1,1,1
93,"D","D","D","D","D","D","D","D","D ","D ","D","D","D",1,1,1,1,1,1,1,1,1,1,1,1
94,"C","C","A","D","D",NA,"C","C","C ","C ","D","D","D",0,0,0,1,1,0,0,0,0,0,1,1
95,"A","C","C","B","C",NA,"B","B","B ","B ","B","B","B",0,0,0,1,0,0,1,1,1,1,1,1
96,"D","D","A","E","D","D","D","D","E ","E ","E","E","E",0,0,0,1,0,0,0,0,1,1,1,1
97,"B","B","A","A","D","D","A","A","B ","B ","D","D","D",0,0,0,0,1,1,0,0,0,0,1,1
98,"D","D","D","D","B","D","B","D","D ","D ","D","D","D",1,1,1,1,0,1,0,1,1,1,1,1
99,"A","A","C","C","C","C","C","C","C ","C ","C","C","C",0,0,1,1,1,1,1,1,1,1,1,1
100,"D","D","D","D","D","D","D","D","D ","D ","D","D","D",1,1,1,1,1,1,1,1,1,1,1,1
101,"D","A","B","B","A",NA,"D","D","D ","D ","D","D","B",0,0,1,1,0,0,0,0,0,0,0,0
102,"D","D","D","D","D","D","D","D","D ","D ","D","D","D",1,1,1,1,1,1,1,1,1,1,1,1
103,"B","B","B","B","B","B","B","B","B ","B ","B","B","B",1,1,1,1,1,1,1,1,1,1,1,1
104,"A","A","D","A","D","D","D","A","D ","D ","D","D","D",0,0,1,0,1,1,1,0,1,1,1,1
105,"C","C","C","C","C","C","C","C","C ","C ","C","C","C",1,1,1,1,1,1,1,1,1,1,1,1
106,"B","B","B","B","B","B","B","B","B ","B ","B","B","B",1,1,1,1,1,1,1,1,1,1,1,1
107,"C","C","A","A","C","C","B","B","A ","A ","A","A","A",0,0,1,1,0,0,0,0,1,1,1,1
108,"B","B","B","B","B","B","B","B","B ","B ","B","B","B",1,1,1,1,1,1,1,1,1,1,1,1
109,"D","D","D","D","D","D","D","D","D ","D ","D","D","D",1,1,1,1,1,1,1,1,1,1,1,1
110,"C","C","C","C","A","A","C","C","C ","C ","C","C","C",1,1,1,1,0,0,1,1,1,1,1,1
111,"B","B","B","B","B","B","C","C","D ","D ","D","D","D",0,0,0,0,0,0,0,0,1,1,1,1
