Timestamp,RaterID,ChatbotID,TestDay,SimplePrompt_Training_Accuracy_EnergyAvailability,SimplePrompt_Training_Accuracy_DailyCarbIntake,SimplePrompt_Training_Accuracy_DailyProtein,SimplePrompt_Training_Accuracy_PostSessionCarbs,SimplePrompt_Training_Accuracy_PostSessionProtein,SimplePrompt_Training_Accuracy_Hydration,SimplePrompt_Training_Accuracy_Supplements,SimplePrompt_Training_Accuracy_Individualization,SimplePrompt_Training_Accuracy_Disclaimer,SimplePrompt_Training_Completeness,SimplePrompt_Training_Clarity,SimplePrompt_Training_Evidence,SimplePrompt_Training_ExtraInfoYN,SimplePrompt_Training_ExtraInfo,SimplePrompt_Training_ExtraInfo_notes,SimplePrompt_Racing_Accuracy_CarbsDaysBefore,SimplePrompt_Racing_Accuracy_CarbsDaysBeforeFoods,SimplePrompt_Racing_Accuracy_CarbsHoursBefore,SimplePrompt_Racing_Accuracy_CarbsHoursBeforeFoods,SimplePrompt_Racing_Accuracy_CarbsDuringRace,SimplePrompt_Racing_Accuracy_CarbsDuringRaceFoods,SimplePrompt_Racing_Accuracy_HydrationBeforeRace,SimplePrompt_Racing_Accuracy_HydrationDuringRace,SimplePrompt_Racing_Accuracy_Supplements,SimplePrompt_Racing_Accuracy_Individualization,SimplePrompt_Racing_Accuracy_Disclaimer,SimplePrompt_Racing_Completeness,SimplePrompt_Racing_Clarity,SimplePrompt_Racing_Evidence,SimplePrompt_Racing_ExtraInfoYN,SimplePrompt_Racing_ExtraInfo,SimplePrompt_Racing_ExtraInfo_notes,DetailedPrompt_Training_Accuracy_EnergyAvailability,DetailedPrompt_Training_Accuracy_DailyCarbIntake,DetailedPrompt_Training_Accuracy_DailyProtein,DetailedPrompt_Training_Accuracy_PostSessionCarbs,DetailedPrompt_Training_Accuracy_PostSessionProtein,DetailedPrompt_Training_Accuracy_Hydration,DetailedPrompt_Training_Accuracy_Supplements,DetailedPrompt_Training_Accuracy_Individualisation,DetailedPrompt_Training_Accuracy_Disclaimer,DetailedPrompt_Training_Completeness,DetailedPrompt_Training_Clarity,DetailedPrompt_Training_Evidence,DetailedPrompt_Training_ExtraInfoYN,DetailedPrompt_Training_ExtraInfo,DetailedPrompt_Training_ExtraInfo_notes,DetailedPrompt_Racing_Accuracy_CarbsDaysBefore,DetailedPrompt_Racing_Accuracy_CarbsDaysBeforeFoods,DetailedPrompt_Racing_Accuracy_CarbsHoursBefore,DetailedPrompt_Racing_Accuracy_CarbsHoursBeforeFoods,DetailedPrompt_Racing_Accuracy_CarbsDuringRace,DetailedPrompt_Racing_Accuracy_CarbsDuringRaceFoods,DetailedPrompt_Racing_Accuracy_HydrationBeforeRace,DetailedPrompt_Racing_Accuracy_HydrationDuringRace,DetailedPrompt_Racing_Accuracy_Supplements,DetailedPrompt_Racing_Accuracy_Individualization,DetailedPrompt_Racing_Accuracy_Disclaimer,DetailedPrompt_Racing_Completeness,DetailedPrompt_Racing_Clarity,DetailedPrompt_Racing_Evidence,DetailedPrompt_Racing_ExtraInfoYN,DetailedPrompt_Racing_ExtraInfo,DetailedPrompt_Racing_ExtraInfo_notes
28/10/2024 23:49:53,RaterB_ML,B,Test1,4,4,5,4,5,4,5,5,5,3,3,1,Yes,5,"Additional supplement information on creatine, caffeine. Advice to avoid fat immediately before exercise because it can slow digestion and cause discomfort. Info that fats can provide energy during prolonged exercise. Good overall advice that is accurate and contained in the guidelines. ",5,1,4,5,4,5,4,5,1,5,1,2,3,1,Yes,4,"Advice about knowing the course and where nutrition is located in the race was excellent practical advice.
An emphasis on practicing sports nutrition was clear and is also good practical advice. 
Electrolyte advice for supplementation beyond an hour of exercise is less well supported 
Snack at 30-60 minutes before an event is also just outside the window to spike glucose and lead to a crash - so good advice...barely. ",1,4,4,3,5,2,3,5,2,2,3,2,Yes,3,gave information on how to search pubmed or asked if user would like help with learning how to search Pubmed. Teach a person to fish approach I guess. Also focused way more on reace day nutrition than general training nutrition. Recommendation of elecctrolytes to prevent muscle cramps knocks this down a number. ,5,5,5,5,5,5,5,4,1,5,1,2,3,1,Yes,2,Recommendation to eat something 15-30 minutes before the event for na energy boost. This is TOO close to the start. 
29/10/2024 00:07:43,RaterB_ML,A,Test1,1,3,4,2,3,4,4,5,5,2,3,1,Yes,3,"Healthy fats should also be included in the training diet. Good.
Antioxidants in the diet help protect cells from damage.Bad/not supported. ",3,1,3,5,3,5,4,4,1,5,5,2,3,1,No,,,2,2,3,2,3,4,5,4,3,2,3,1,Yes,4,"Advice on sleep, stress management for performance. Good advice.
Additional advice on healthy fats and role of them in sparing glycogen during long endurance events. ",4,5,4,4,4,5,5,3,1,4,5,2,3,1,No,,
29/10/2024 20:12:11,RaterB_ML,A,Test2,1,4,4,3,3,3,2,4,5,2,3,1,Yes,4,"Information on fats in the diet. Good recommendation that is useful, but maybe not in the consensus statements. ",3,1,3,3,4,5,3,3,2,4,5,1,3,1,No,,,1,2,4,1,3,3,1,4,5,2,3,1,Yes,3,"Fast provide energy but not as crucial for endurance athletes as CHO and PRO. Gave it a 3 because for energy it is more important than protein, but for overall health maybe not/ ",4,5,5,4,4,5,1,4,1,4,5,2,3,1,No,,
29/10/2024 20:31:05,RaterB_ML,B,Test2,5,5,5,4,4,4,4,2,3,2,3,1,No,,,4,5,4,5,4,5,3,4,2,4,1,2,3,1,Yes,2,"Gave a sample race day plan and discussed electrolyte replacement. 
Sample race day play is mostly correct, but lower CHO intake. Evidence about Na reducing cramps is not supported by evidence nor is the consumption of potassium rich foods post exercise as necessary. ",2,5,5,1,5,3,3,2,5,2,3,2,Yes,4,"Train low and compete high idea. This is somewhat supported by mecahnistic approaches, but generally not by guidelines from consensus organizations. 
Fat intake and high fat diets for performance are mentioned as a fad and actually lead to reduced performance - which is true and some good practical evidence. Wavering between a 3-4 on this. ",5,5,5,5,4,5,4,4,5,4,1,3,3,2,Yes,4,"Provided some calculations for amounts and explained why small amounts of Na might be useful for water retention. Might be helpful, but not necessary given the other information. "
29/10/2024 20:58:02,RaterB_ML,C,Test2,1,4,4,3,3,4,1,1,1,1,3,1,Yes,4,"""Fats: Healthy fats should make up 20-30% of total daily calories. Fats provide energy and support hormone production.""  Potentially useful, but also not necessarily a consensus ",1,1,1,1,4,5,1,2,2,4,1,1,2,1,Yes,1,"Added info about protein intake during the marathon and that good sources include bars, gels, and powders for endurance athletes....ummm, no. ",5,5,5,3,3,4,1,2,1,2,3,3,Yes,4,"consuming a combination of whey and casein proteins to optimize protein synthesis. Potentially helpful and partially supported by evidence, but maybe not necessary for endurance athletes. ",5,5,5,5,4,5,1,1,1,1,1,1,3,3,No,,
29/10/2024 21:16:08,RaterB_ML,D,Test2,2,4,5,3,3,4,1,5,5,2,3,1,Yes,3,"pre-workout diet recommendation of a CHO rich snack 1-3 hours before and include protein for sustained energy. 
Spread meals and snacks throughout the day to maintain energy levels, 3 meals + 2-3 snacks. 
80% correct, protein part incorrect. Potentially useful. ",4,5,3,5,4,5,3,4,2,5,1,2,3,1,Yes,4,"Post race recommendations that included balanced post race meal to replenish CHO and aid recovery and fluid intake and immediate recovery nutrition.
Mostly accurate and potentially useful. 
",5,4,5,4,5,3,2,1,1,2,3,1,Yes,4,"Fats as 20-35% of diet, provide some energy and can support overall health.
Mostly true, not necessarily a consensus recommendation level for fats. ",5,5,4,5,5,5,1,1,1,1,1,1,3,1,Yes,4,"gave estimates of the CHO content for each of the serving sizes. (1 cup, 1 slice, etc.).
Potentially useful to have those conversions and examples. "
29/10/2024 21:30:33,RaterB_ML,E,Test2,5,5,5,3,3,2,2,5,5,2,3,1,Yes,4,"Fats are important for hormone production and vitamin production - choose unsaturated fats.
Potentially useful and somewhat supports by evidence (not necessarily the 20-30% number)",5,5,4,5,4,5,4,4,1,4,5,2,3,2,Yes,5,"Nutrition is just one piece of the puzzle  - that is good advice.. Post race nutrition recommendations which were general, but good advice. 
 ",1,4,4,3,3,4,4,5,5,2,3,1,Yes,4,"Fats for hormone and overall health for 20-30% of diet. Some specific food recommendations for each category.
Potentially useful and mostly correct, but not always necessary. 
",4,5,4,5,4,5,1,4,1,5,5,2,3,1,No,,
29/10/2024 21:45:42,RaterB_ML,F,Test2,1,4,4,3,3,4,4,1,1,2,2,1,Yes,3,"Blanket statement that fat intake should be 20-30% of daily intake. 
should have some fats in diet, but this number is not truth and there is no other rationale for the intake of fats given.",4,1,4,4,4,5,1,4,1,2,1,2,2,1,No,,,1,4,4,3,4,5,4,4,1,2,3,3,Yes,5,"Added info about ergogenic aids of caffeine and beetroot juice. 
Dead on for the recommendations - also included relevant reference. ",5,5,4,5,5,5,1,1,1,5,1,2,3,3,No,,
30/10/2024 08:23:42,RaterA_TS,A,Test2,1,4,5,2,2,3,2,5,5,1,2,1,Yes,3,"The info about fats and during exercise carb intake is somewhat useful and supported by evidence. However, the info about other nutrients is a bit random and not informative.",2,1,2,3,3,5,2,2,1,5,5,1,3,1,Yes,4,The info about postrace recovery is potentially useful and supported by evidence.,1,2,5,1,3,3,2,5,5,1,2,3,Yes,3,"There was a lot of info about pre-, during-, and post-race nutrition that was correct and potentially useful, but this prompt was for training not racing and this chatbot seemed to be confused and provided a race-specific answer to the training prompt. This might be caused if this chatbot has a memory feature that cannot be turned off.",3,5,4,5,4,5,2,3,1,5,5,1,3,3,Yes,3,"The info about carb intake (60-70% of your total daily calories from carbohydrates) is not useful or based on evidence because the guidelines provide ranges for grams per kilo body weight. However, the info about the timing of feeding during a race is useful and supported by evidence."
30/10/2024 08:41:44,RaterA_TS,B,Test2,4,5,5,3,3,4,4,2,1,1,3,1,Yes,3,"The info about fat intake and pre/during/post-exercise nutrition is useful and based on evidence, but the details of hydration fluid intake amounts are somewhat confusing and not based on evidence.",5,5,5,5,4,5,4,4,5,5,1,3,3,1,Yes,5,The extra info about post-race recovery considerations and the race meal plan were very useful and supported by evidence.,1,3,5,2,4,3,1,5,5,1,2,2,Yes,4,There was extra info about performance-enhancing supplements (caffeine and nitrate) and train low compete high approaches that are potentially useful and supported by evidence.,4,5,5,5,5,5,3,3,5,5,1,3,3,2,Yes,5,The extra info about grams of carbs for a 70 kg person is very useful and supported by evidence.
30/10/2024 09:20:30,RaterA_TS,C,Test2,1,4,4,3,3,1,2,1,1,1,3,1,No,,,1,1,1,1,4,5,1,3,1,5,1,1,3,1,Yes,2,The info on electrolyte replacement is misleading and the specific electrolyte intake guidelines are not based on evidence.,4,5,5,3,3,2,1,1,1,1,3,3,No,,,5,5,5,5,4,5,1,1,1,1,1,1,3,3,Yes,5,The extra info about total grams of carbs for a 70 kg person is useful and supported by evidence.
30/10/2024 09:31:57,RaterA_TS,D,Test2,1,4,5,3,3,3,1,5,3,1,3,1,Yes,4,The info about during workout carb intake and daily fat intake is potentially useful and supported by evidence,3,5,3,5,4,5,1,4,1,5,1,1,3,1,Yes,5,The info about post-race recovery is useful and evidence based.,4,4,5,4,5,4,1,1,1,1,3,3,Yes,5,The info on pre/during/post-exercise nutrition is useful and evidence based.,5,5,5,5,5,5,1,1,1,1,1,1,3,3,Yes,5,The examples of gram intake for a 70 kg athlete are very useful and evidence-based
30/10/2024 09:44:08,RaterA_TS,E,Test2,4,5,5,3,3,2,1,5,5,2,3,1,Yes,3,"The info about fats is useful and evidence-based, but the info about supplements is misleading and the statement about hydration (Drink consistently throughout the day, even when you're not thirsty. Aim for half your body weight in ounces of water per day) is also misleading and potentially harmful (drink even when not thirsty). ",4,5,5,5,4,5,2,4,1,5,5,1,3,2,Yes,4,The info about post-race nutrition is somewhat useful and partially supported by evidence.,1,3,4,4,3,3,1,5,5,1,3,3,Yes,4,The info about fats is useful and somewhat supported by evidence.,4,5,4,5,4,5,1,2,1,5,5,1,3,3,No,,
30/10/2024 09:55:20,RaterA_TS,F,Test2,1,5,4,1,1,3,3,1,1,1,2,1,Yes,4,The info about post-exercise nutrition (Consume carbs and protein in a 3:1 or 4:1 ratio after training) is somewhat useful and supported by evidence but could be confusing to a lay person. ,3,1,4,2,4,4,1,3,1,2,1,1,2,1,No,,,1,4,4,3,4,4,2,4,1,1,3,3,Yes,5,The information on performance-enhancing supplements is useful and supported by evidence.,5,5,4,5,5,5,1,1,1,4,1,1,3,3,No,,
